registered at: ,2026-06-18 09:56:45.323676
0.4165,coefficients,"[ 2.74170532e-17 -4.39914230e+00  5.75212279e+01  2.69527096e-01
 -3.31843884e+00]"
0.4197,r_i,[2.  0.8]
0.4199,D,"[[-0.4  -0.4   0.08  0.16  0.08]
 [ 0.   -0.4   0.   -0.    0.08]
 [-0.4   0.    0.08 -0.    0.  ]
 [-0.4   0.4   0.08 -0.16  0.08]
 [ 0.    0.4   0.    0.    0.08]
 [ 1.    0.    0.    0.    0.  ]]"
0.42,W,[0.00386592 0.06217652 0.06217652 0.00386592 0.06217652 1.        ]
0.4202,b,[-3.03733219 -2.00206602 -1.64234249  0.5247329   1.90088269  0.        ]
0.4203,coefficients,"[-6.82720367e-18 -4.87868589e+00  1.99572681e+01 -1.06526131e+00
  3.46389284e-01]"
0.4207,r_i,[-2.   1.2]
0.4208,D,"[[ 0.   -0.4   0.   -0.    0.08]
 [ 0.4  -0.4   0.08 -0.16  0.08]
 [ 0.4   0.    0.08  0.    0.  ]
 [ 0.    0.4   0.    0.    0.08]
 [ 0.4   0.4   0.08  0.16  0.08]
 [-1.    0.    0.    0.    0.  ]]"
0.421,W,[0.06217652 0.00386592 0.06217652 0.06217652 0.00386592 1.        ]
0.4212,b,[-2.04772755 -6.60423474 -5.03082725  1.28352323 -3.41713862  0.        ]
0.4213,coefficients,"[ 2.74187366e-17 -4.16406347e+00  6.23583826e+01  4.50483306e-01
  4.51279792e+00]"
0.4244,r_i,[2.  1.2]
0.4245,D,"[[-0.4  -0.4   0.08  0.16  0.08]
 [ 0.   -0.4   0.   -0.    0.08]
 [-0.4   0.    0.08 -0.    0.  ]
 [-0.4   0.4   0.08 -0.16  0.08]
 [ 0.    0.4   0.    0.    0.08]
 [ 1.    0.    0.    0.    0.  ]]"
0.4247,W,[0.00386592 0.06217652 0.06217652 0.00386592 0.06217652 1.        ]
0.4249,b,[-3.54322519 -1.90088269 -1.37614979 -0.05479478  1.11778358  0.        ]
0.425,coefficients,"[ 2.70197719e-20 -3.77333284e+00  1.72428909e+01  1.46801290e+00
  4.91487869e+00]"
0.4254,r_i,[-2.   1.6]
0.4255,D,"[[ 0.   -0.4   0.   -0.    0.08]
 [ 0.4  -0.4   0.08 -0.16  0.08]
 [ 0.4   0.    0.08  0.    0.  ]
 [ 0.    0.4   0.    0.    0.08]
 [ 0.4   0.4   0.08  0.16  0.08]
 [-1.    0.    0.    0.    0.  ]]"
0.4257,W,[0.06217652 0.00386592 0.06217652 0.06217652 0.00386592 1.        ]
0.4258,b,[-1.28352323 -6.31435049 -4.70066185  0.13591937 -4.9076506   0.        ]
0.426,coefficients,"[-2.74612595e-17 -1.77430326e+00  5.91991531e+01  3.98210142e-02
  7.39296411e+00]"
0.4291,r_i,[2.  1.6]
0.4292,D,"[[-0.4  -0.4   0.08  0.16  0.08]
 [ 0.   -0.4   0.   -0.    0.08]
 [-0.4   0.    0.08 -0.    0.  ]
 [-0.4   0.4   0.08 -0.16  0.08]
 [ 0.    0.4   0.    0.    0.08]
 [ 1.    0.    0.    0.    0.  ]]"
0.4294,W,[0.00386592 0.06217652 0.06217652 0.00386592 0.06217652 1.        ]
0.4295,b,[-2.49393337 -1.11778358 -1.17257837 -1.16574582  0.11373663  0.        ]
0.4297,coefficients,"[ 1.10232110e-20 -1.53940026e+00  1.48605988e+01  3.02085449e-01
  6.37697807e+00]"
0.4301,r_i,[-2.  2.]
0.4302,D,"[[ 0.   -0.4   0.   -0.    0.08]
 [ 0.4  -0.4   0.08 -0.16  0.08]
 [ 0.4   0.    0.08  0.    0.  ]
 [-1.    0.    0.    0.    0.  ]
 [ 0.    1.    0.    0.    0.  ]]"
0.4304,W,[0.06217652 0.00386592 0.06217652 1.         1.        ]
0.4305,b,[-0.13591937 -4.83658122 -5.04356998  0.          0.        ]
0.4306,coefficients,"[2.10137340e-21 3.43317065e-18 6.30446247e+01 2.14317580e+00
 1.69899218e+00]"
0.4307,r_i,[-2.  2.]
0.4309,D,"[[ 0.   -0.4   0.   -0.    0.08]
 [ 0.4  -0.4   0.08 -0.16  0.08]
 [ 0.4   0.    0.08  0.    0.  ]
 [-1.    0.    0.    0.    0.  ]
 [ 0.    1.    0.    0.    0.  ]]"
0.431,W,[0.06217652 0.00386592 0.06217652 1.         1.        ]
0.4312,b,[-0.13591937 -4.83658122 -5.04356998  0.          0.        ]
0.4313,coefficients,"[2.10137340e-21 3.43317065e-18 6.30446247e+01 2.14317580e+00
 1.69899218e+00]"
0.4317,r_i,[-1.6  2. ]
0.4319,D,"[[-0.4  -0.4   0.08  0.16  0.08]
 [ 0.   -0.4   0.   -0.    0.08]
 [ 0.4  -0.4   0.08 -0.16  0.08]
 [-0.4   0.    0.08 -0.    0.  ]
 [ 0.4   0.    0.08  0.    0.  ]
 [ 0.    1.    0.    0.    0.  ]]"
0.432,W,[0.00386592 0.06217652 0.00386592 0.06217652 0.06217652 1.        ]
0.4322,b,[ 4.9076506   0.20698875 -4.21849788  5.04356998 -4.59676488  0.        ]
0.4323,coefficients,"[ 1.20504186e+01  1.82275556e-18 -2.73632093e+00  1.60683242e+00
 -2.47493755e+00]"
0.4327,r_i,[-1.2  2. ]
0.4329,D,"[[-0.4  -0.4   0.08  0.16  0.08]
 [ 0.   -0.4   0.   -0.    0.08]
 [ 0.4  -0.4   0.08 -0.16  0.08]
 [-0.4   0.    0.08 -0.    0.  ]
 [ 0.4   0.    0.08  0.    0.  ]
 [ 0.    1.    0.    0.    0.  ]]"
0.433,W,[0.00386592 0.06217652 0.00386592 0.06217652 0.06217652 1.        ]
0.4332,b,[ 4.80375363  0.378267   -2.72911224  4.59676488 -2.9933695   0.        ]
0.4333,coefficients,"[ 9.48766798e+00 -1.71553464e-18 -9.92778573e+00  1.78964104e-01
 -4.54146675e+00]"
0.4337,r_i,[-0.8  2. ]
0.4339,D,"[[-0.4  -0.4   0.08  0.16  0.08]
 [ 0.   -0.4   0.   -0.    0.08]
 [ 0.4  -0.4   0.08 -0.16  0.08]
 [-0.4   0.    0.08 -0.    0.  ]
 [ 0.4   0.    0.08  0.    0.  ]
 [ 0.    1.    0.    0.    0.  ]]"
0.4341,W,[0.00386592 0.06217652 0.00386592 0.06217652 0.06217652 1.        ]
